Country,latitude,longitude,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_millin,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index
Luxembourg,49.8153,6.1296,31111,1349,550.714,273,13,5.286,49699.988,2155.035,879.769,436.119,20.768,8.444,,46,73.485,237,378.609,,,,,1315205,9491,2101.047,15.162,10052,16.058,0.055,18.3,56.48
Madagascar,-18.766947,46.869107,17341,0,4.429,251,0,0.143,626.232,0,0.16,9.064,0,0.005,,,,,,,,,,,,,,,,,,37.04
Malawi,-13.254308,34.301525,6009,6,5.429,185,0,0,314.115,0.314,0.284,9.671,0,0,,,,,,,,,,,,,,,,,,50.93
Malaysia,4.210484,101.975766,56659,1884,1162.714,337,2,3.429,1750.572,58.209,35.924,10.412,0.062,0.106,,,,,,,,,,2543655,15497,78.59,0.479,18135,0.56,0.064,15.6,80.09
Maldives,3.2028,73.2207,12758,150,63.429,46,0,0.286,23602.236,277.499,117.343,85.1,0,0.529,,,,,,,,,,232692,1717,430.479,3.176,1526,2.823,0.042,24.1,
Mali,17.570692,-3.996166,4326,71,54,146,1,0.714,213.621,3.506,2.667,7.21,0.049,0.035,,,,,,,,,,,,,,,,,,34.26
Malta,35.9375,14.3754,9004,80,123.857,113,2,2.143,20392.31,181.184,280.512,255.923,4.53,4.853,,,,,,,,,,,,,,,,,,
Mauritania,21.0079,-10.9408,8167,39,26.857,169,0,0.571,1756.473,8.388,5.776,36.347,0,0.123,,,,,,,,,,,,,,525,0.113,0.051,19.5,17.59
Mauritius,-20.348404,57.552152,494,0,0.429,10,0,0,388.436,0,0.337,7.863,0,0,,,,,,,,,,,,,,,,,,16.67
Mexico,23.6345,-102.5528,1049358,7483,5708.857,101926,250,437.857,8138.801,58.038,44.278,790.536,1.939,3.396,,,,,,,,,,,,,,,,,,71.76
Moldova,47.4116,28.3699,98418,477,1225,2169,20,19.143,24397.348,118.246,303.672,537.685,4.958,4.745,,,,,,,,,,,,,,,,,,48.15
Monaco,43.7333,7.4167,583,1,4.429,3,0,0.143,14855.774,25.482,112.847,76.445,0,3.64,,,,,,,,,,,,,,,,,,
Mongolia,46.8625,103.8467,672,32,34,,0,0,204.985,9.761,10.371,,0,0,,,,,,,,,,,,,,,,,,85.19
Montenegro,42.708678,19.37439,31618,556,549.286,444,5,6.857,50342.164,885.263,874.572,706.937,7.961,10.918,,,,,,,,,,,,,,,,,,
Morocco,31.7917,-7.0926,327528,2587,4477,5396,80,78,8873.559,70.088,121.293,146.191,2.167,2.113,,,,,,,,,,3814442,17566,103.343,0.476,21397,0.58,0.209,4.8,66.2
Mozambique,-18.665695,35.529562,15109,72,85,126,2,1.429,483.404,2.304,2.72,4.031,0.064,0.046,,,,,,,,,,223235,914,7.142,0.029,1632,0.052,0.052,19.2,56.48
Namibia,-22.9576,18.4904,13897,32,48.857,145,0,1,5469.287,12.594,19.228,57.066,0,0.394,,,,,,,,,,148562,872,58.468,0.343,924,0.364,0.053,18.9,34.26
Nepal,28.1667,84.25,222288,1980,1616.429,1337,16,15.286,7629.113,67.955,55.477,45.887,0.549,0.525,,,,,,,,,,1670456,10381,57.331,0.356,8078,0.277,0.2,5,63.89
Netherlands,52.3167,5.55,497501,5208,5380.571,9021,54,59.714,29034.414,303.942,314.013,526.47,3.151,3.485,,571,33.324,,,,,,,,,,,,,,,56.48
New Zealand,-40.9006,174.886,2031,1,3.714,25,0,0,421.174,0.207,0.77,5.184,0,0,,,,,,,,,,1234175,3274,255.934,0.679,7041,1.46,0.001,1895.8,22.22
Nicaragua,12.865416,-85.207229,5725,0,9.143,159,0,0.143,864.209,0,1.38,24.002,0,0.022,,,,,,,,,,,,,,,,,,8.33
Niger,17.607789,8.081666,1381,13,9.286,70,0,0,57.05,0.537,0.384,2.892,0,0,,,,,,,,,,,,,,,,,,24.07
Nigeria,9.082,8.6753,66439,56,162,1168,1,0.714,322.301,0.272,0.786,5.666,0.005,0.003,,,,,,,,,,,,,,4651,0.023,0.035,28.7,50.93
North Macedonia,41.6086,21.7453,55127,384,1070.143,1546,35,28.714,26460.367,184.316,513.657,742.063,16.8,13.783,,,,,,,,,,316462,3143,151.898,1.509,2809,1.348,0.381,2.6,
Norway,60.472,8.4689,33183,418,678.429,311,5,2.429,6120.922,77.104,125.143,57.367,0.922,0.448,,,,138,25.455,,,,,2182456,25776,402.575,4.755,17634,3.253,0.038,26,49.07
Oman,21.512583,55.923255,122356,275,234,1386,6,5.143,23960.262,53.852,45.823,271.412,1.175,1.007,,,,,,,,,,,,,,,,,,37.04
Pakistan,30.3753,69.3451,379883,2954,2685.857,7744,48,78.714,1719.765,13.373,12.159,35.058,0.217,0.356,,,,,,,,,,5216955,36929,23.618,0.167,38056,0.172,0.071,14.2,58.8
Panama,8.538,-80.7821,155658,875,1141.571,2973,16,13.143,36075.636,202.792,264.573,689.029,3.708,3.046,,,,,,,,,,835431,6902,193.621,1.6,9468,2.194,0.121,8.3,58.33
Papua New Guinea,-6.314993,143.95555,630,26,4,7,0,0,70.414,2.906,0.447,0.782,0,0,,,,,,,,,,,,,,,,,,37.96
Paraguay,-23.4425,-58.4438,77072,596,710.429,1665,8,9,10805.703,83.561,99.604,233.438,1.122,1.262,,,,,,,,,,425902,2760,59.713,0.387,2869,0.402,0.248,4,63.89
Peru,-9.19,-75.0152,949670,1589,1808.429,35595,46,52,28802.452,48.193,54.848,1079.557,1.395,1.577,,,,,,,,,,1229765,7059,37.297,0.214,5581,0.169,,,67.59
Philippines,12.879721,121.774017,420614,1796,1577.143,8173,50,47.714,3838.381,16.39,14.392,74.584,0.456,0.435,,,,,,,,,,5242727,24381,47.843,0.222,30592,0.279,0.052,19.4,71.76
Poland,51.9194,19.1451,876333,15002,20363.571,13774,156,469,23154.864,396.39,538.055,363.943,4.122,12.392,,,,22234,587.477,,,,,5757602,26866,152.13,0.71,45492,1.202,0.448,2.2,71.3
Portugal,39.3999,-8.2245,264802,4044,5590,3971,74,71.286,25969.364,396.599,548.216,389.439,7.257,6.991,,498,48.839,3241,317.848,,,,,4353243,33576,426.926,3.293,40391,3.961,0.138,7.2,62.5
Qatar,25.3548,51.1839,137415,186,198.143,236,0,0.143,47695.987,64.56,68.774,81.914,0,0.05,,,,,,,,,,,,,,,,,,64.81
Romania,45.9432,24.9668,422852,4207,8234.286,10177,130,157.429,21980.403,218.685,428.029,529.014,6.758,8.183,,1160,60.298,,,,,,,3908681,9938,203.178,0.517,29479,1.532,0.279,3.6,76.85
Russia,61.524,105.3188,2096749,24891,23434,36192,354,429.714,14367.744,170.563,160.579,248.002,2.426,2.945,,,,,,,,,,73312313,362717,502.365,2.485,537379,3.682,0.044,22.9,55.09
Rwanda,-1.9403,29.8739,5726,61,33.571,47,0,0.286,442.087,4.71,2.592,3.629,0,0.022,,,,,,,,,,607283,2541,46.886,0.196,2924,0.226,0.011,87.1,58.33
Saint Kitts and Nevis,17.357822,-62.782998,20,0,0.143,,0,0,375.996,0,2.686,,0,0,,,,,,,,,,,,,,,,,,
Saint Lucia,13.9094,-60.9789,223,3,7.429,2,0,0,1214.405,16.337,40.454,10.892,0,0,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,12.9843,-61.2872,84,0,0.857,,0,0,757.118,0,7.726,,0,0,,,,,,,,,,,,,,,,,,
San Marino,43.9424,12.4578,1428,33,19.714,44,1,0.286,42076.728,972.361,580.891,1296.482,29.465,8.419,,,,,,,,,,,,,,,,,,40.74
Sao Tome and Principe,0.18636,6.613081,981,2,2.286,17,0,0.143,4476.161,9.126,10.429,77.569,0,0.652,,,,,,,,,,,,,,,,,,
Saudi Arabia,23.885942,45.079162,355489,231,276.143,5796,16,17.143,10211.132,6.635,7.932,166.485,0.46,0.492,,,,,,,,,,9350875,55276,268.596,1.588,50437,1.449,0.005,182.6,50
Senegal,14.4974,-14.4524,15897,15,13.714,330,0,0.143,949.419,0.896,0.819,19.709,0,0.009,,,,,,,,,,233114,684,13.922,0.041,783,0.047,0.018,57.1,37.96
Serbia,44.0165,21.0059,126187,5067,5543.714,1237,38,29.571,18544.378,744.644,814.701,181.789,5.584,4.346,,,,,,,,,,1638709,15061,240.824,2.213,17056,2.507,0.325,3.1,54.63
Seychelles,-4.6796,55.492,166,3,0.857,,0,0,1688.021,30.506,8.716,,0,0,,,,,,,,,,,,,,,,,,
Sierra Leone,8.460555,-11.779889,2406,1,2.143,74,0,0,301.618,0.125,0.269,9.277,0,0,,,,,,,,,,,,,,,,,,40.74
Singapore,1.2833,103.8333,58165,5,5.857,28,0,0,9942.152,0.855,1.001,4.786,0,0,,,,,,,,,,4448110,,760.316,,31462,5.378,0,5371.7,52.78
Slovakia,48.669,19.699,96472,231,1313.714,693,22,23.857,17670.02,42.31,240.623,126.931,4.03,4.37,,,,1756,321.633,,,,,1024347,6545,187.622,1.199,6878,1.26,0.191,5.2,69.44
Slovenia,46.1512,14.9955,65778,470,1462,1097,45,38,31640.285,226.078,703.246,527.675,21.646,18.279,,202,97.165,1292,621.473,,,,,483249,5596,232.451,2.692,5235,2.518,0.279,3.6,68.52
Somalia,5.152149,46.199616,4445,0,20.571,113,0,0.857,279.679,0,1.294,7.11,0,0.054,,,,,,,,,,,,,,,,,,37.96
South Africa,-30.5595,22.9375,769759,2080,2498.571,20968,65,93.429,12978.857,35.071,42.128,353.54,1.096,1.575,,,,,,,,,,5305343,14377,89.453,0.242,23199,0.391,0.108,9.3,44.44
